provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1983 02   0.00,  0.05,  0.43,  3.34,  9.84, 15.76, 19.80, 19.90, 13.50,  8.88,  4.68,  3.07,  0.70,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 03   0.00,  0.00,  0.48,  3.66, 10.81, 18.67, 19.74, 18.07, 12.43,  7.48,  4.84,  2.74,  0.97,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 04   0.00,  0.00,  0.16,  3.82, 11.78, 19.26, 20.39, 18.13, 10.97,  6.19,  4.84,  3.07,  1.24,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 05   0.00,  0.00,  0.65,  4.95, 15.71, 19.74, 20.71, 16.68, 10.01,  5.11,  3.34,  2.31,  0.70,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 06   0.00,  0.05,  0.70,  6.46, 14.58, 19.90, 20.55, 16.14, 10.11,  5.49,  3.50,  2.31,  0.16,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 07   0.00,  0.00,  0.32,  3.23, 11.67, 20.55, 23.18, 17.75, 10.81,  6.67,  3.77,  1.83,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 08   0.00,  0.00,  0.16,  0.97,  5.43, 17.16, 26.30, 23.83, 13.93,  7.10,  3.07,  1.83,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 09   0.00,  0.00,  0.00,  0.59,  3.77, 13.45, 28.08, 26.73, 16.03,  7.21,  2.10,  1.78,  0.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 10   0.00,  0.00,  0.00,  0.65,  4.09, 16.08, 29.75, 25.34, 15.01,  6.02,  1.83,  0.86,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 11   0.00,  0.00,  0.11,  2.31, 12.32, 25.44, 27.65, 18.93,  8.12,  3.50,  1.08,  0.38,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 12   0.00,  0.05,  0.97,  7.15, 18.72, 24.21, 21.89, 14.90,  7.69,  3.12,  0.81,  0.32,  0.11,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 13   0.00,  0.27,  1.29,  8.82, 18.88, 23.13, 18.77, 14.25,  8.82,  3.28,  1.40,  0.75,  0.27,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 14   0.00,  0.27,  1.40,  6.78, 15.49, 21.30, 17.37, 14.25, 10.81,  6.67,  3.34,  1.61,  0.43,  0.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 15   0.00,  0.16,  0.65,  4.68, 11.24, 18.77, 18.02, 13.88, 12.00,  8.98,  6.67,  2.96,  1.45,  0.38,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
1983 16   0.00,  0.05,  0.97,  3.71,  7.91, 13.61, 18.18, 16.62, 13.18,  9.68,  7.48,  4.73,  2.47,  1.08,  0.16,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00
1983 17   0.00,  0.16,  0.97,  3.07,  6.56,  9.36, 14.20, 17.27, 14.95, 10.38,  9.68,  6.08,  3.98,  2.31,  0.65,  0.27,  0.05,  0.05,  0.00,  0.00,  0.00
1983 18   0.11,  0.38,  1.56,  3.50,  5.76,  7.48, 13.50, 16.30, 15.28, 12.16,  8.45,  7.80,  4.52,  2.31,  0.38,  0.43,  0.11,  0.00,  0.00,  0.00,  0.00
1983 19   0.11,  1.08,  1.51,  2.64,  5.33,  7.37,  9.68, 12.43, 14.90, 12.91, 12.05,  7.32,  7.05,  3.12,  1.61,  0.81,  0.05,  0.00,  0.05,  0.00,  0.00
1983 20   0.43,  0.75,  1.24,  3.07,  4.79,  6.72, 10.11, 12.16, 12.86, 15.06, 11.94,  9.41,  4.90,  3.71,  1.56,  1.08,  0.16,  0.05,  0.00,  0.00,  0.00
